COMID,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
6,0.8070960524212881,0.8190826274572479,0.8350647275051942,0.8430557775291673,0.8590378775771136,0.8630334025891003,0.8670289276010869,0.8790155026370465,0.8989931276969794,0.9069841777209524,0.930957327792872,0.9469394278408183,0.9629215278887646,0.9908902029726706,1.0108678280326033,1.0388365031165094,1.070800703212402,1.0947738532843216,1.1027649033082947,1.1427201534281606,1.1626977784880932,1.1866709285600128,1.2066485536199456,1.2266261786798784,1.2346172287038517,1.2426082787278248,1.2585903787757713,1.2665814287997443,1.2785680038357041,1.2905545788716637,1.2945501038836504,1.30653667891961,1.314527728943583,1.3185232539555698,1.3385008790155026,1.3385008790155026,1.3424964040274892,1.3424964040274892,1.3424964040274892,1.3424964040274892,1.3504874540514624,1.354482979063449,1.354482979063449,1.354482979063449,1.3584785040754355,1.3584785040754355,1.3744606041233818,1.3744606041233818,1.3784561291353683,1.3864471791593416,1.390442704171328,1.3944382291833146,1.3984337541953014,1.4024292792072879,1.4024292792072879,1.4024292792072879,1.4064248042192744,1.4144158542432477,1.4264024292792075,1.4343934793031805,1.4463800543391403,1.4823397794470192,1.5103084545309253,1.502317404506952,1.5462681796388045,1.570241329710724,1.6221831548665495,1.662138404986415
9,0.3342077838070938,0.3342077838070938,0.33780141589104107,0.33780141589104107,0.33780141589104107,0.33780141589104107,0.33780141589104107,0.33780141589104107,0.3413950479749883,0.3413950479749883,0.3485823121428828,0.3485823121428828,0.3485823121428828,0.3485823121428828,0.3521759442268301,0.3521759442268301,0.3521759442268301,0.3521759442268301,0.3521759442268301,0.3521759442268301,0.3593632083947246,0.3593632083947246,0.366550472562619,0.3701441046465663,0.38092500089840803,0.38811226506630253,0.395299529234197,0.4024867934020915,0.40608042548603873,0.41326768965393323,0.4168613217378805,0.42764221798972224,0.4456103784094585,0.47076580299708914,0.4779530671649836,0.49592122758471985,0.5246702842562978,0.5390448125920868,0.5462320767599813,0.5462320767599813,0.5462320767599813,0.5534193409278758,0.5642002371797176,0.5642002371797176,0.5677938692636648,0.5677938692636648,0.5893556617673483,0.5929492938512956,0.60013655801919,0.6109174542710317,0.628885614690768,0.628885614690768,0.643260143026557,0.6576346713623459,0.6576346713623459,0.6576346713623459,0.6576346713623459,0.6576346713623459,0.6576346713623459,0.6576346713623459,0.6576346713623459,0.6576346713623459,0.6576346713623459,0.6576346713623459,0.6648219355302404,0.6648219355302404,0.6648219355302404,0.6648219355302404
10,2.349311817750356,2.367109634551495,2.4145704793545324,2.444233507356431,2.479829140958709,2.5154247745609872,2.5450878025628856,2.574750830564784,2.6637399145704794,2.7349311817750355,2.806122448979592,2.8713811105837683,2.990033222591362,3.102752728998576,3.22733744660655,3.2747982914095872,3.322259136212625,3.4171808258186998,3.506169909824395,3.6070242050308496,3.6782154722354057,3.7731371618414804,3.8443284290460373,3.921452301850973,3.9511153298528714,3.992643569055529,4.046037019458947,4.093497864261984,4.152823920265781,4.182486948267679,4.200284765068818,4.218082581869957,4.229947793070717,4.235880398671096,4.247745609871856,4.2536782154722355,4.277408637873754,4.283341243474134,4.283341243474134,4.283341243474134,4.283341243474134,4.283341243474134,4.2892738490745135,4.2892738490745135,4.2892738490745135,4.2892738490745135,4.2892738490745135,4.295206454674893,4.295206454674893,4.295206454674893,4.295206454674893,4.295206454674893,4.295206454674893,4.295206454674893,4.295206454674893,4.295206454674893,4.295206454674893,4.295206454674893,4.295206454674893,4.295206454674893,4.295206454674893,4.295206454674893,4.295206454674893,4.295206454674893,4.295206454674893,4.295206454674893,4.301139060275273,4.313004271476032
16,1.6115649143510407,1.6207843932660928,1.6244721848321133,1.6373794553131857,1.648442830011248,1.6576623089262994,1.6742573709733926,1.7000719119355374,1.720354765548651,1.7295742444637028,1.7480132022938064,1.7553887854258476,1.8014861800011064,1.8217690336142203,1.8438957830103444,1.8531152619253959,1.880773698670551,1.8936809691516236,1.9213394058967788,1.9489978426419339,1.9729684878210683,2.0153780908303065,2.055943798056534,2.0928217137167406,2.116792358895875,2.1665775450371543,2.1979237733483306,2.207143252263382,2.229270001659506,2.24770895948961,2.277211292017775,2.339903748640127,2.3878450389983956,2.452381391403758,2.5187616395921304,2.5998930540445855,2.704995113676175,2.752936404034444,2.8100971733077644,2.856194567883023,2.9151992329393543,2.9502332528165507,2.987111168476758,3.009237917872882,3.0405841461840577,3.064554791363192,3.0719303744952335,3.0977449154573784,3.1272472479855438,3.1290911437685547,3.1567495805137096,3.1880958088248854,3.1899397046078954,3.210222558221009,3.230505411834123,3.2673833274943305,3.298729555805506,3.326387992550661,3.366953699776889,3.401987719654085,3.440709531097302,3.4923386130215923,3.6029723600022128,3.673040399756606,3.75048402264304,3.8187081666144227,3.8850884148027953,3.9735954123872914
44,2.701751298072692,2.701751298072692,2.701751298072692,2.701751298072692,2.701751298072692,2.701751298072692,2.701751298072692,2.701751298072692,2.701751298072692,2.701751298072692,2.701751298072692,2.701751298072692,2.7105517909002903,2.71495203731409,2.71495203731409,2.71495203731409,2.71495203731409,2.723752530141688,2.728152776555487,2.7369532693830854,2.7369532693830854,2.7413535157968845,2.7413535157968845,2.7589545014520813,2.7589545014520813,2.7589545014520813,2.7589545014520813,2.7589545014520813,2.76775499427968,2.7721552406934786,2.7721552406934786,2.7853559799348764,2.7941564727624746,2.7941564727624746,2.7985567191762737,2.8029569655900732,2.8161577048314705,2.8425591833142656,2.851359676141864,2.860160168969462,2.8953621402798557,2.92616386517645,2.974566575728241,2.983367068555839,2.987767314969638,2.9921675613834373,3.009768547038634,3.0141687934524333,3.018569039866233,3.027369532693831,3.0449705183490274,3.0713719968318225,3.1021737217284167,3.1197747073836135,3.132975446625011,3.132975446625011,3.132975446625011,3.132975446625011,3.132975446625011,3.132975446625011,3.132975446625011,3.1373756930388104,3.1549766786940068,3.1593769251078063,3.1637771715216054,3.185778403590601,3.1901786500044,3.1901786500044
47,0.10958075913015548,0.10958075913015548,0.10958075913015548,0.10958075913015548,0.10958075913015548,0.11052542084679477,0.11052542084679477,0.11147008256343403,0.11335940599671258,0.11335940599671258,0.11335940599671258,0.11335940599671258,0.11713805286326967,0.11808271457990893,0.11902737629654819,0.11902737629654819,0.12186136144646603,0.12186136144646603,0.12186136144646603,0.12186136144646603,0.12186136144646603,0.12186136144646603,0.1228060231631053,0.12375068487974457,0.12375068487974457,0.12375068487974457,0.1256400083130231,0.1265846700296624,0.12752933174630166,0.12752933174630166,0.12752933174630166,0.12941865517958018,0.12941865517958018,0.132252640329498,0.13319730204613728,0.13414196376277654,0.13792061062933364,0.1398099340626122,0.1416992574958907,0.14358858092916926,0.15020121294564417,0.1558691832454798,0.16248181526195468,0.16626046212851178,0.17003910899506888,0.17570707929490448,0.17948572616146158,0.18515369646129723,0.187987681611215,0.187987681611215,0.1917663284777721,0.19365565191105066,0.19648963706096848,0.19743429877760776,0.19743429877760776,0.19743429877760776,0.19743429877760776,0.19743429877760776,0.19743429877760776,0.19743429877760776,0.19743429877760776,0.19743429877760776,0.19743429877760776,0.19743429877760776,0.19743429877760776,0.19743429877760776,0.19743429877760776,0.19743429877760776
53,2.3286858498961736,2.333629981212301,2.333629981212301,2.3435182438445565,2.3435182438445565,2.353406506476812,2.353406506476812,2.3583506377929395,2.3583506377929395,2.373183031741323,2.3781271630574508,2.3781271630574508,2.3830712943735786,2.392959557005834,2.392959557005834,2.407791950954217,2.407791950954217,2.4275684762187284,2.442400870167112,2.442400870167112,2.442400870167112,2.447345001483239,2.452289132799367,2.452289132799367,2.457233264115495,2.4720656580638782,2.477009789380006,2.481953920696134,2.486898052012261,2.486898052012261,2.4918421833283895,2.5066745772767725,2.5313952338574115,2.536339365173539,2.5412834964896667,2.5511717591219223,2.561060021754178,2.561060021754178,2.570948284386433,2.5907248096509443,2.6006130722832,2.6055572035993277,2.620389597547711,2.6253337288638385,2.6302778601799663,2.6302778601799663,2.635221991496094,2.6549985167606054,2.679719173341244,2.679719173341244,2.6896074359734996,2.6945515672896274,2.709383961238011,2.739048749134777,2.763769405715416,2.7786017996637993,2.8181548501928213,2.8675961633540985,2.8725402946702268,2.907149213883121,2.956590527044398,2.99614357757342,3.0159201028379314,3.0653614159992086,3.08513794126372,3.1296351231088697,3.1642440423217644,3.1790764362701474
54,0.6071850227694383,0.6071850227694383,0.6071850227694383,0.6071850227694383,0.6071850227694383,0.6071850227694383,0.6071850227694383,0.6071850227694383,0.6071850227694383,0.6071850227694383,0.6128071063135998,0.6184291898577613,0.6240512734019228,0.6296733569460842,0.6409175240344072,0.6521616911227301,0.6577837746668915,0.6577837746668915,0.6690279417552145,0.6690279417552145,0.6690279417552145,0.6690279417552145,0.6690279417552145,0.6690279417552145,0.6690279417552145,0.6690279417552145,0.6690279417552145,0.6690279417552145,0.6690279417552145,0.6690279417552145,0.6746500252993759,0.6746500252993759,0.6746500252993759,0.6746500252993759,0.6802721088435374,0.6802721088435374,0.6802721088435374,0.6802721088435374,0.6858941923876989,0.6858941923876989,0.6858941923876989,0.6915162759318604,0.7027604430201834,0.7027604430201834,0.7027604430201834,0.7083825265643447,0.7083825265643447,0.7083825265643447,0.7083825265643447,0.7083825265643447,0.7083825265643447,0.7140046101085062,0.7140046101085062,0.7140046101085062,0.7140046101085062,0.7140046101085062,0.7140046101085062,0.7252487771968291,0.7308708607409906,0.7364929442851521,0.7364929442851521,0.7364929442851521,0.7421150278293136,0.758981278461798,0.7702254455501208,0.7870916961826053,0.8095800303592511,0.8264462809917356
65,0.028524566783141983,0.028524566783141983,0.028524566783141983,0.028524566783141983,0.028524566783141983,0.028524566783141983,0.028524566783141983,0.028524566783141983,0.028524566783141983,0.028524566783141983,0.02995079512229908,0.02995079512229908,0.02995079512229908,0.031377023461456176,0.034229480139770375,0.037081936818084575,0.037081936818084575,0.038508165157241675,0.041360621835555875,0.04991799187049847,0.05134422020965557,0.055622905227126866,0.058475361905441066,0.05990159024459816,0.06275404692291235,0.06845896027954075,0.07416387363616915,0.07559010197532626,0.08414747201026884,0.08557370034942595,0.09270484204521144,0.10411466875846823,0.10554089709762532,0.11267203879341084,0.11552449547172502,0.11980318048919632,0.1269343221849818,0.13406546388076732,0.1426228339157099,0.144049062254867,0.1483277472723383,0.15118020395065251,0.1554588889681238,0.1625900306639093,0.1640162590030664,0.1654424873422235,0.1654424873422235,0.17542608571632318,0.17827854239463736,0.17970477073379448,0.18113099907295158,0.1839834557512658,0.18683591242957998,0.19254082578620837,0.19539328246452256,0.20109819582115096,0.20109819582115096,0.20252442416030808,0.20537688083862227,0.21108179419525064,0.21536047921272197,0.22249162090850746,0.22249162090850746,0.22249162090850746,0.22249162090850746,0.22249162090850746,0.22249162090850746,0.22391784924766456
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
