systemId,levee_effect,levee_year,levee_area
1105000055,-32.49795695995641,1963,0.071
1105000072,-11.591842723004708,1976,0.192
1105100066,,1955,0.155
1105100081,-11.75039110029552,1961,0.07400000000000001
1105200081,-11.75039110029552,1961,0.257
1105300081,-11.75039110029552,1961,0.28800000000000003
1205000023,-20.931524240260234,1960,0.223
1205000032,8.10073382425589,1960,0.284
1205000211,,1950,0.172
1305000004,-16.469080422941374,1969,0.193
1305000136,-20.242779405609035,1960,0.133
1305000617,-9.597008724553401,1979,1.399
1405000036,-2.588808915718599,1985,0.455
1405000063,-15.93850609316556,1968,0.63
1505000042,,1972,0.062
1505000045,-41.501468428781195,1971,0.183
1505000046,,1965,0.14800000000000002
1505000057,-16.83611187027423,1973,0.8029999999999999
1505000058,,1988,0.7440000000000001
1505000071,-6.722454672245481,1969,0.10300000000000001
1505000242,,1988,0.07
1505000285,,1966,1.9909999999999999
1505000422,,1966,1.048
1505000852,-20.169445203607573,1973,0.20600000000000002
1505000935,,1972,2.591
1505000946,,1987,0.726
1705000103,0.0,1949,0.292
1705000109,1.7258633978965099,1983,1.099
1705000172,-4.25622699877326,1982,0.335
1705000268,,1972,0.37799999999999995
1705000298,,1952,2.4530000000000003
1705000480,,1955,14.672
1705100118,-3.0383592859855924,1963,6.225
1705100142,,1955,0.93
1805000007,-21.71787709497206,1986,0.1
1805000009,,1969,0.262
1805000010,-5.587717090359945,1969,0.214
1805000022,-5.766812383975073,1994,0.315
1805000023,-4.598394786072046,1992,0.253
1805000503,,1986,0.109
1805000507,-18.91985860810106,1973,1.696
1805000508,,1974,0.575
1805000534,-8.792247695580247,1977,0.882
1805000535,,1969,0.14800000000000002
1805000546,89.31684894595016,1979,0.298
1805000559,,1973,0.956
1805000719,,1985,0.29600000000000004
1805000720,-2.7793533749290944,1985,0.15
1805000724,,1971,0.256
1805000733,22.291590157914044,1960,0.618
1805000826,-5.087378640776707,1950,0.281
1805000835,,1980,0.617
1805000836,,1978,0.121
1805000858,-1.5789473684210575,1980,0.188
1805000863,,1961,11.376
1805001314,-9.380737773326707,1990,0.509
1805001360,,1950,0.141
1805001368,0.0,1983,0.22699999999999998
1805100568,,1992,0.475
1805200568,-26.784689779526282,1993,80.523
1805500528,-2.2727272727272707,1979,0.055
1905031045,-3.6651653983537757,1985,1.7009999999999998
2205000003,,1969,2.273
2205000004,54.17337109165909,1956,50.18
2205000006,2093.5419040786924,1972,9.154
2205000007,-125.30799426987403,1972,12.199000000000002
2205000008,,1972,0.556
2205000010,-13.33784175860342,1978,1.054
2205000011,4.916085578771723,1973,1.244
2205000012,,1973,0.77
2205000013,-2.0465021756048696,1973,2.375
2205000015,65.35772911525272,1949,0.41700000000000004
2205000016,-21.002598455265886,1949,6.1560000000000015
2205000020,0.0,1950,0.24
2205000021,,1973,0.133
2205000024,,1979,0.16399999999999998
2205000026,,1980,1.607
2205000027,-0.8102189781022062,1980,6.138999999999999
2205000028,,1972,0.158
2205000029,,1972,0.335
2205000030,-0.3898635477582735,1983,4.806
2205000031,,1978,0.32899999999999996
2205000032,4.168689320388319,1978,36.035
2205000033,,1973,0.067
2205000035,11.868418358473054,1986,11.693
2205000036,109.68931266162878,1985,2.998
2205000037,,1973,0.10400000000000001
2205000038,-4.0583554376657505,1982,5.7620000000000005
2205000039,,1982,1.3840000000000001
2205000040,25.99321135725816,1952,3.804
2205000041,-1.9984212057002848,1990,0.86
2205000042,-1.9984212057002848,1990,0.096
2205000050,3.55722729715211,1964,8.49
2205000051,33.68068408727556,1964,20.758000000000006
2205000052,,1973,0.149
2205000053,,1964,26.829
2205000054,-19.815097216927157,1973,1.76
2205000055,,1973,0.191
2205000056,,1980,6.279
2205000057,-8.737244897959195,1990,1.506
2205000058,,1969,0.08800000000000001
2205000059,,1969,0.337
2205000060,291.12493519958537,1969,0.113
2205000061,274.4582685329187,1969,0.33299999999999996
2205000062,,1969,4.987
2205000063,347.64667433002023,1969,32.086
2205000064,-95.66751763060333,1969,23.858
2205000065,,1969,52.845
2205000066,,1969,56.772
2205000071,,1969,0.09699999999999999
2205000074,,1969,0.087
2205000075,,1969,0.078
2205000076,,1969,0.087
2205000077,,1969,0.076
2305010001,-11.763636363636332,1950,0.24100000000000002
2305010002,,1950,0.22399999999999998
2305020001,-24.95534916949458,1959,0.897
2305020002,-7.886950311192709,1974,0.674
2305020003,-7.886950311192709,1974,0.217
2305020004,-8.93783049219472,1974,0.79
2305040001,-12.263619478532274,1971,4.074
2305050002,,1964,0.063
2305100001,-1.5878532560997138,1964,1.696
2305100002,-11.313957669186436,1964,0.35100000000000003
2305100003,-1.3139576691864274,1964,0.654
2305110001,-17.766749379652612,1967,3.822
2305120001,-10.94662218515432,1976,7.11
2305120002,-5.524935438166367,1976,10.401
2305130001,-20.70577237672355,1961,4.1110000000000015
2305130002,5.535362375049502,1961,1.268
2305130003,-15.943867614818764,1961,2.802
2305140001,-16.197101449275376,1965,0.18
2305150001,-1.1478599221790065,1984,0.193
2305150002,-1.777469990766356,1984,0.11599999999999999
2305150004,-1.5436321614906268,1984,0.162
2305170001,-7.282639976976957,1955,1.6480000000000001
2305170002,23.626450932113976,1955,0.174
2305170004,-16.37354906788604,1955,0.569
2305170005,-16.37354906788604,1955,0.4370000000000001
2305170006,-12.52739522173223,1955,1.986
2305180002,-11.638954869358686,1964,0.17600000000000002
2305200001,-0.8098261073598456,1994,5.438
2305220001,-30.413436692506444,1971,0.779
2305270001,-8.883986224709473,1969,0.294
2305270002,-8.883986224709473,1969,0.139
2305280001,-9.77409919094585,1951,3.6830000000000003
2305320001,-7.992028108608973,1950,9.414
2305320002,-7.410225197808917,1955,5.353
2305320003,-7.9894097492602345,1952,1.192
2305330001,-3.2914371753002714,1986,18.127
2305330002,-5.0361180263641225,1986,0.762
2305340001,-23.26927627353541,1951,0.389
2305340003,271.46756583172777,1951,0.215
2305340004,-28.532434168272292,1951,0.157
2305340005,-28.532434168272292,1951,0.155
2305340006,-28.532434168272292,1951,0.184
2305340007,211.46756583172763,1951,0.2
2305340008,-28.532434168272292,1951,0.11599999999999999
2305350001,-4.495356037151699,1982,1.225
2305380003,-8.12807881773403,1954,0.083
2305400001,-2.7983539094650345,1981,1.129
2305410001,-9.859420700066025,1967,0.561
2305420001,-22.730158730158735,1968,0.254
2305430001,-50.78125000000002,1959,0.12300000000000001
2305440001,-2.4830685183677925,1977,6.626
2305470001,-4.1374371327657755,1976,0.528
2305490001,,1964,0.065
2305490002,-14.777987313560793,1964,0.179
2305500001,89.35897435897435,1977,0.679
2305530001,,1963,0.13
2305530004,,1963,0.065
2305540001,-4.3353951043130445,1992,2.298
2305550001,,1961,0.526
2305560001,-14.233101349283928,1973,0.151
2305560002,-14.233101349283928,1973,0.086
2305570001,,1949,0.133
2305580001,-13.31038439472174,1954,0.851
2305600004,,1954,0.214
2405000003,-2.957662492546209,1982,0.142
2405000004,-22.737139136097273,1949,0.26899999999999996
2405000005,-22.737139136097273,1949,0.12
2405000007,-23.429991714995868,1977,0.856
2405000012,-13.4828564062903,1972,2.185
2405000013,-13.4828564062903,1972,0.73
2405000014,-17.111770524233428,1950,0.953
2405000019,-14.023358158429255,1949,0.184
2405000020,-15.748301947149844,1986,1.29
2405000021,18.68264808132183,1992,8.919
2405000022,-2.8867048105101434,1981,0.109
2405000024,16.38761332862353,1958,0.536
2405000026,,1973,1.385
2405000028,-2.8867048105101434,1981,0.275
2405000029,-2.8867048105101434,1981,0.092
2405000030,-10.279053338043088,1958,0.07
2405000031,-22.737139136097273,1949,0.095
2705000001,-18.274747053301343,1961,0.862
2705000007,-46.57783161720166,1967,0.15
2705000019,-25.377504358982804,1967,0.111
2705000020,-17.89341867260328,1975,0.136
2705000022,-17.89341867260328,1975,0.09300000000000001
3005000002,-1.8429510908034796,1959,28.889
3005000006,-4.417387987870258,1959,38.514
3005000007,19.43527786654007,1967,0.885
3005000008,-25.131815742114718,1961,1.242
3005000009,-14.962452561031414,1968,0.657
3005000010,-32.157645666962445,1955,3.35
3005000011,-28.04784593342884,1959,0.6809999999999999
3005000012,,1984,5.2989999999999995
3005000013,,1984,3.819
3005000014,,1984,52.146
3005000015,-24.797750338495717,1955,1.4
3005000016,-12.385834352475866,1970,2.241
3005000017,-23.518199704869637,1962,0.09699999999999999
3005000020,-32.157645666962445,1955,3.302
3005000021,-15.882482297576605,1965,2.938
3005000108,,1967,5.5829999999999975
3105000001,13.81597031335895,1962,7.127999999999999
3105000002,4.098080376244773,1981,111.057
3105000003,-5.3809344250863145,1982,167.252
3105000004,-4.322740757984378,1987,96.89
3105000005,1.2798656603965952,1982,4.815
3105000007,-11.466861483129097,1955,12.113
3305000001,-6.114398422090739,1953,1.4409999999999998
3305000002,-6.114398422090739,1953,0.14800000000000002
3305000003,1.5927497107597555,1959,1.05
3305000005,-1.2734528636675568,1983,5.579
3305000013,-4.375329467580369,1991,0.321
3305000016,-6.081730769230798,1956,1.473
3305000019,-5.7316350710900466,1950,3.0989999999999998
3305000020,-7.376185458377238,1988,1.632
3305000021,-2.3372287145241755,1951,0.97
3305000022,1.5250636530846684,1950,7.746
3305000023,-16.757741347905288,1959,0.23199999999999998
3305000024,-9.253393694882362,1960,0.28800000000000003
3405000001,-2.182243147821139,1991,145.149
3405000006,4.857967694394172,1952,140.73
3405000007,42.393053964096694,1952,172.592
3405000014,126.27141184665658,1952,784.8910000000003
3405000017,-1.555344573082218,1995,538.485
3405000020,,1971,10.44
3405000030,-68.9066666666667,1957,7.579
3405000031,-12.31387935609325,1973,70.76100000000002
3405000032,161.5725273403108,1962,84.199
3405000033,-50.080385852090025,1962,48.40600000000001
3405000034,-22.130608409678175,1961,28.941
3405000035,-5.268515557070974,1973,95.455
3405000036,-65.97899228623018,1956,20.728
3405000037,,1959,428.406
3405000038,32.246337837064985,1956,271.115
3405000039,-94.22174173250184,1955,201.312
3405000041,569.7066614977062,1955,374.12199999999996
3405000042,-5.3196516268895655,1956,83.015
3405000043,-1.5345478417857494,1956,100.70100000000001
3405000044,705.1406808130379,1953,23.967
3405000045,,1953,23.386999999999997
3405000046,,1957,449.52
3405000047,-40.41692254413445,1959,540.714
3405000050,7.112059306950069,1966,2246.887
3405000051,33.33218473226805,1968,141.305
3405000052,,1961,112.679
3405000053,-46.96149117096824,1961,1828.408
3405000055,-54.86430732947607,1960,423.20300000000003
3405000056,,1966,394.89599999999996
3405000057,-36.80930930930935,1964,12.543
3405000063,157.08533154973983,1964,57.961999999999996
3405000064,-24.947605426378505,1959,35.242
3405000065,195.37415960245548,1962,7.922999999999999
3405000072,205.95113325737415,1970,4.3069999999999995
3405000073,-42.60279664123148,1962,7.4060000000000015
3405000076,27.97096822929468,1967,194.61
3405000095,-29.117880123295304,1966,274.562
3405000102,-42.678767692029275,1967,3.153
3405000106,-35.365079365079396,1966,0.49
3405000107,1625.1371504142987,1958,52.843
3405000114,9.972206672764061,1967,456.68
3405000115,5.746098372933628,1969,20.430999999999997
3405000117,47.67690452324273,1963,110.421
3405000118,-10.218487361946394,1964,5.3389999999999995
3405000119,23.059561128526585,1964,6.5120000000000005
3405000121,-9.415934200036325,1964,1.695
3405000122,-23.10115315718768,1964,2.0869999999999997
3605000006,-19.44754998307545,1964,31.320999999999998
3605000008,5.7178159420829155,1970,3.28
3605000009,-2.545968882602523,1952,14.844000000000001
3605000020,-5.734149824100587,1985,8.34
3605000021,0.0,1953,0.46399999999999997
3605000022,25.279541479299606,1968,53.457
3605000024,-21.543555200365372,1955,70.267
3605000025,-45.178162798300114,1957,15.463
3605000039,-10.465417252548171,1962,1.419
3605000040,82.41759964173754,1951,7.979
3605000044,-20.429506866595105,1967,24.538
3605000045,1.3013327554965093,1978,34.657
3605000046,4.117203219315879,1981,108.56700000000001
3605000047,0.0,1957,0.738
3605000048,-0.5049908148452076,1961,58.183
3605000050,0.0,1951,2.6039999999999996
3605000051,-2.7930932501998074,1950,17.545
3605000052,0.0,1949,0.674
3605000063,-6.85058433456196,1959,17.817999999999994
3605000065,-37.986679049649766,1954,11.770999999999999
3605000066,0.0,1963,0.612
3605000079,-2.266666666666639,1950,35.926
3605000091,-0.9182736455463747,1965,1.545
3605000092,92.81168831168831,1951,7.997000000000001
3605000093,-0.6304176516942483,1962,2.464
3605000094,-3.407247160627369,1954,19.337
3605000095,-0.738255033557067,1970,1.402
3605000096,-2.5614754098360226,1960,3.4730000000000003
3605000098,-16.82704185062851,1966,32.997
3605000099,-43.77447314004137,1980,3.1839999999999997
3605000101,0.0,1952,0.809
3605000119,223.76888506406587,1953,8.673
3605000120,0.33883999488522054,1963,6.077999999999999
3605000121,5.185556056763052,1952,20.192999999999998
3605000123,-4.020289310539149,1952,2.699
3605000127,14.384403830267711,1950,3.844
3605000129,-3.8017941050833004,1971,40.13800000000001
3605000137,-10.480859010270759,1952,2.65
3605000138,-3.140227395776929,1953,6.0470000000000015
3605000139,-3.8900895338067842,1950,22.323
3605000140,-1.9080659150043644,1962,26.391
3605000141,-29.527969948468847,1972,39.768
3605000143,-13.464751085867022,1961,0.066
3605000146,,1972,83.11
3605000204,-4.020289310539149,1952,3.054
3605000205,-9.390899840093025,1952,3.682
3605000207,,1952,1.288
3605000208,-4.114802180692334,1952,9.238
3605000209,-0.6304176516942483,1962,0.705
3605000210,,1961,0.22699999999999998
3605000211,,1961,0.5720000000000001
3605000212,,1961,0.602
3605000213,,1961,0.183
3605000214,,1961,1.386
3605000215,-13.464751085867022,1961,1.224
3605000218,,1962,0.887
3605000220,-2.5614754098360226,1960,3.051
3705000001,3072.934342782611,1952,120.947
3705000004,38.623617080384975,1950,1.224
3705000008,-8.240353894581641,1950,59.813
3705000010,111.27583108715184,1964,5.83
3705000011,,1949,34.921
3705000012,,1965,22.956999999999997
3705000013,3.638392857142869,1961,0.514
3705000014,,1951,76.73
3705000022,-27.327553712778,1986,12.526
3705000023,,1949,72.487
3705000024,0.0,1951,19.13
3705000026,867.7945373012637,1956,0.441
3705000027,-8.072425499811398,1956,2.8569999999999998
3705000031,,1958,5.47
3705000061,,1965,0.758
3705000063,38.78895896170362,1952,34.536
3805010001,-4.188451920891101,1979,0.507
3805010002,-4.188451920891101,1979,2.095
3805010015,1.2089340241635327,1995,43.8
3805010018,36.348836517693826,1963,1.119
3805010019,2.59059614882986,1961,15.17
3805010020,63.74961640746783,1964,10.929
3805010021,53.97647968942514,1964,7.7920000000000025
3805010023,-6.329756190666247,1972,41.083
3805010025,112.89693843388532,1965,4.683
3805010026,-0.7089441360693005,1957,19.395
3805010028,65.85879326565927,1965,6.54
3805010030,-11.954070684419227,1977,0.321
3805010031,-3.2464482452800425,1968,64.69
