Levee_year,levee_urban_1,county_urban_1,levee_urban_2,county_urban_2,levee_urban_3,county_urban_3,levee_urban_4,county_urban_4,levee_urban_ratio,county_urban_ratio,levee_effect
1948,1634.0681616518298,23193.269564507595,1714.9924201446415,25002.781474429998,1854.9632520495475,27585.708934707567,1985.0889554656685,30091.45167915751,0.6079937689843606,0.38476167562632835,0.2232320933580323
1949,961.6874584947582,12463.920084145317,1052.034669219514,13495.856417107734,1209.6583649193608,15091.75041593571,1353.7544343222348,16575.805906793597,0.5949144223374536,0.4381269885105745,0.1567874338268791
1950,963.6599954651543,12737.63833936421,1054.955745267982,13832.399761037688,1214.1115489689423,15533.841601732503,1360.4302201372916,17114.75786124336,0.6026887504002685,0.4440737755393602,0.15861497486090825
1951,1103.2899444034538,13968.27805712578,1199.5791889265033,15136.025974686258,1363.9270050913026,16938.579733055027,1515.3873803734564,18609.37634567254,0.5729729320484749,0.4307853497250902,0.1421875823233847
1952,1094.6240723802973,14325.060217054337,1190.4297332367237,15573.65162477244,1352.4673433360697,17521.85104896334,1502.8216303468976,19281.177255146053,0.569367463955472,0.40904878514102294,0.16031867881444906
1953,1157.8721275011715,14441.648852577035,1260.7214792187733,15841.408317974594,1437.9987774127492,17925.92810748452,1602.0018064695942,19723.691803134632,0.5945946796743606,0.28433758805803944,0.3102570916163212
1954,746.9203537534687,11872.295878775833,841.4248298802328,13084.745968687641,1003.3200289444663,14864.95198266464,1147.4054792729708,16333.116318366752,0.5246415432771103,0.21090702860099153,0.3137345146761188
1955,533.1974515535023,11146.450542945464,588.2098450591571,12535.42791798505,692.6305413348832,14393.37875989126,793.7962401192173,15821.66704257273,0.8389619563441655,0.028302050377720267,0.8106599059664452
1956,581.860933174725,13002.13291648363,611.3246393391858,14443.514679689199,660.8033593451439,16217.89458329217,710.5491596728048,17562.773122240487,0.688375523771156,-0.06695188375537209,0.755327407526528
1957,623.7404307111279,15069.541097403382,657.3555484975848,16775.757521653908,711.3891048383153,18805.24765811719,764.9880270480996,20332.713236876778,0.5944886033205783,-0.10476446185275512,0.6992530651733334
1958,562.2012861159332,20280.92350860686,594.0263414045409,22574.89179663148,647.0799814829691,25177.833640791403,698.3221768339974,27145.410779176065,0.6101211729668659,-0.14228232854998224,0.7524035015168481
1959,564.0111133142698,20308.8129758471,597.9334091185988,22587.63853770727,650.9858407436329,25091.25393473198,701.7522604907497,26998.672382219975,0.4965502346877768,-0.16298180983585264,0.6595320445236295
1960,493.31109238653517,21632.545195418796,521.2003320920792,23812.722368808354,559.3053850587861,26145.36616105998,595.680309316572,27981.39662842074,0.30426374622736785,-0.15785263245085124,0.4621163786782191
1961,400.90404984962964,22283.655100680546,428.639206523453,24704.74493117822,460.42550346230075,27244.71293940885,490.23064250329514,29344.193548713847,0.07463388043971886,-0.1328365503590455,0.20747043079876437
1962,404.6281264647395,23361.44936912867,429.63606744612827,25678.2249627009,460.7623905544732,28102.85036273614,491.57874922536183,30211.915140841018,0.23226293175526114,-0.08965512932872477,0.3219180610839859
1963,312.503685301897,21702.90178089581,333.9138311024848,23911.288654101772,358.15955855362307,26219.89896134854,380.95712599069327,28339.663278917804,0.0648020639095479,-0.04012999565970232,0.10493205956925022
1964,454.6752196345648,23265.503510183073,489.16529512474546,25436.673601469036,530.1575619918883,27745.00142807977,567.430971360874,29932.848870851798,0.08069955890927072,0.007681273592059945,0.07301828531721077
1965,469.8716013497774,19456.592187127557,503.0888459618257,21134.617773102225,543.5809025619241,23013.15438179478,582.1552095408176,24939.175540260556,0.16127353214908635,0.14779010198885767,0.013483430160228682
1966,478.7823462372254,21435.838528025877,512.6924558150562,23139.162233903404,573.7944958175353,25487.185918189738,660.5231734191987,28792.205961535008,1.5576053478271104,0.9403358457003179,0.6172695021267924
1967,457.8248895417305,20076.866760645527,489.8380617419922,21689.69186190957,549.541204353043,24017.77643511076,635.8621503199586,27243.153698568785,1.6964196308608854,0.9998307695795108,0.6965888612813746
1968,417.56451588429627,17716.707040254732,445.6097546405464,19059.617151489354,501.0674267756398,21162.578207499544,582.8789032848001,24088.28415777822,1.9171253352559878,1.178631261915878,0.7384940733401097
1969,423.21684051904214,16010.537713292462,450.61463431912733,17197.1049722326,505.11774436046255,19319.663654981618,586.3556038169445,22363.408856762773,1.9651241282146348,1.5651687073347063,0.3999554208799285
1970,418.1587876613179,16757.6395751561,445.6299888494518,17937.274135203304,501.1342634070582,20091.756820487102,582.8090272318076,22987.145362958167,1.9731049350702747,1.4544792434321359,0.5186256916381389
1971,237.34728002828433,14450.17428313059,246.63860082675745,15479.898675027585,279.3093916324735,17421.195738721508,340.43258987770866,20047.87076623891,5.578526301156213,1.5508524884784407,4.027673812677772
1972,150.0888392520098,12684.753198111635,157.60069950320616,13624.564498338335,186.94366644101615,15396.520193674447,244.46208561222102,17800.045500060653,6.657014008220436,1.557455210217658,5.099558798002779
1973,145.53760350865736,10048.971753743937,152.69026735636857,10828.37210644576,163.6788438116906,11998.137243269633,173.9183508094408,12876.318239247828,0.43156552799929915,0.12673928480266228,0.30482624319663687
1974,183.92340488849027,9621.97338749264,195.66479089678504,10408.635002247043,213.47838352527074,11524.230692172121,227.83289661383347,12373.23235169739,0.22255695183020974,0.07924632853775271,0.14331062329245703
1975,179.35662951415878,9884.944773152845,191.13152612784367,10724.460617732551,207.20650298411755,11820.716625693103,218.5560940903405,12664.014732778789,-0.0361196808273998,0.004505290198392187,-0.04062497102579199
1976,154.85492131965424,10110.318814617985,165.85523944860583,10950.661110019788,180.64632953080144,11870.409798854362,190.54898856411415,12425.395471237858,-0.09978430466933141,-0.3395718918109021,0.23978758714157067
1977,131.63662595908406,7600.739385820096,142.73685911892483,8256.652367626399,156.18629917883686,8905.758235719719,164.20759686973264,9311.160011858057,-0.27737574739278337,-0.3819275004713091,0.10455175307852571
1978,162.8045980518962,7800.767998222594,179.31529406785893,8389.353401871957,198.44483874345622,8968.1606244667,211.04679169775895,9389.919418528263,-0.23674005371311935,-0.28343653878169084,0.04669648506857149
1979,285.66819235763563,8562.590304874051,304.94735244043915,9138.59374719643,326.91047827663095,9690.705267860098,340.4581383865202,10109.158661292442,-0.2972899207381242,-0.27352275579258845,-0.023767164945535768
1980,268.21471160342435,8741.176733682674,284.5226780742396,9340.051761813458,302.44114932025684,9918.064473105958,313.772109860592,10446.96668061353,-0.3051886290903846,-0.11684043804867295,-0.18834819104171163
1981,224.0426093678571,9750.911812387372,237.2346376923956,10347.511721399442,250.3972865172005,10965.762978116467,258.87592389188603,11645.014473471074,-0.35729084519062226,0.13853771194736364,-0.4958285571379859
1982,218.01885717059622,10366.76972826608,230.39781233725367,10945.49994327568,243.58333521401315,11586.870869769908,253.09121760256716,12349.093566168685,-0.23193175348406103,0.31706048281258936,-0.5489922362966504
1983,228.8939226772627,10279.235946552923,241.7750402095116,10832.378647723224,256.8316290017225,11505.3774747373,267.7293129213668,12336.849033653303,-0.15397993284657996,0.5031773123948509,-0.6571572452414308
1984,271.0597988805801,11638.084410065356,283.7248587929105,12236.725445537833,298.73039834162955,12965.2960094347,309.9518656104051,13902.935405415672,-0.11398229882429467,0.5662798579134154,-0.6802621567377101
1985,243.68581660308155,10732.361672050156,250.9775329619094,11284.161793040044,260.51337158009426,11984.369527560148,267.49914087227745,12858.975429642762,-0.0419581689123506,0.5850049117670293,-0.6269630806793799
1986,117.90562795869596,9566.78862693916,122.39660737824741,10063.814985409606,128.83367069377977,10735.349465206154,134.39263703945016,11591.018226375158,0.23780712988117325,0.7215762234466729,-0.4837690935654997
1987,125.5864449748231,10195.134654770573,130.69233733390962,10679.238153093247,137.60826251067928,11397.237173751078,144.4823405964625,12158.4911167548,0.3463029774903126,0.5725024620588774,-0.22619948456856487
1988,130.014254496249,9405.38884546627,133.77926961072916,9836.903928035641,138.39548523055478,10512.541528440404,143.43328810053737,11172.63508027247,0.3380564796691856,0.5297114249209316,-0.19165494525174598
1989,125.50861916858184,8591.982987052119,128.97243635567816,8975.017826014793,133.00746455539223,9619.923690799527,136.88451257528666,10194.912021608925,0.11929926161736293,0.5011384665858782,-0.3818392049685153
1990,109.15005264870506,8917.79991417129,112.12433481072367,9297.695582163144,114.53666782130499,9939.213872621238,117.1114186367751,10479.59517701183,-0.13432866311424285,0.4224466081623748,-0.5567752712766176
1991,106.33121247132999,7997.593893697575,108.94999107090496,8321.059083148933,113.70170416205208,8992.840903454484,116.98929306897932,9494.01925879507,0.25539016832534966,0.5494042997042552,-0.29401413137890553
1992,175.63724862382412,11190.477153310683,184.6556795837536,11662.676048168507,194.73295902202844,12603.638969738884,203.27254036152937,13293.489368433648,-0.053096777317048094,0.46093183657804504,-0.5140286138950931
1993,172.5250976804279,10726.538170879645,181.42466071582902,11188.412026904394,191.38307222957565,12109.312866034797,199.92265356907657,12776.389898978096,-0.0404493675103188,0.44428402742837414,-0.48473339493869294
