Levee_year,k_levee_1,p_levee_1,k_county_1,p_county_1,k_levee_2,p_levee_2,k_county_2,p_county_2
1948,34.25562260685393,1.2231865944908295e-11,567.4098580175787,3.208218343668174e-14,54.6873838173251,2.7289361758621994e-14,798.3864721152922,7.035468209187364e-18
1949,18.223690151895248,3.312867853660924e-11,218.63363396595355,2.3697739671328857e-12,29.236762423394026,7.915921448542247e-15,316.3643236608633,2.2319423292492113e-18
1950,19.209860908601954,2.1101177005291718e-11,233.4447981672505,2.0674990338448695e-12,30.295370606037423,1.8567330271664877e-15,334.36069439439757,7.976167909865714e-20
1951,19.381032143461567,2.5801556237927925e-11,281.2843502813488,8.221965708842665e-12,30.67323086817754,2.06190710376179e-15,385.41546907088536,9.037322078827361e-18
1952,21.05856710538572,6.008897686083623e-11,339.75478189532873,5.901405564639565e-12,33.755186208986004,4.312952009832525e-15,438.0410435312051,3.0130987686057777e-15
1953,21.902442184825475,1.2914920846549982e-10,329.59089021955424,2.584376060396871e-11,36.05243670381307,1.2428451719769956e-15,429.480160836765,4.207610778924345e-15
1954,22.46966774730825,8.107700364260616e-11,367.0337618814292,6.396864898483548e-12,35.90207401233775,3.495572139094164e-15,424.7564581985662,3.0041170907945853e-14
1955,20.569222377448263,8.603751675123859e-11,374.5130007893745,1.3932981181160176e-12,30.997470719630286,6.763055257745159e-15,396.8001125276728,1.6496485534729822e-13
1956,12.930325474526292,2.8942484680398793e-09,407.7822458389369,2.920117635125898e-13,23.40058619083638,9.89846175094551e-19,406.2077161689224,2.461647680319802e-14
1957,7.5819863079015235,2.0213246671770504e-10,485.2507848887833,1.3354396560905178e-18,11.760353569395491,7.444865925877978e-15,435.3225096309741,1.2037684837327833e-13
1958,7.964515038227546,8.292374932137778e-11,517.4660842508786,5.0651440459967225e-20,11.630697556521724,1.901780603038752e-14,456.2745466538563,3.502227899356699e-13
1959,7.431023957058329,1.6825046056325586e-10,542.1104914984803,4.1406998844690403e-20,10.815522757034252,7.951811602900312e-14,476.40963298389875,5.704582409443943e-13
1960,8.318250957263224,2.7817844152044802e-11,563.4557634674545,2.4480683912340164e-16,11.998519889005436,3.3039414220614745e-13,502.39891441211876,6.608803948528604e-12
1961,6.955205950535898,4.8155223853603586e-14,551.5178021850168,1.7654104826832844e-14,9.326813618742044,1.5423378964104816e-11,491.01954857600595,3.149622116475981e-11
1962,6.000432209885883,1.547564455163888e-13,574.4225065395483,5.819831544950906e-14,6.745405115461523,1.8188256635871565e-10,528.2551153991508,1.5090427087393868e-11
1963,8.763566883835608,1.0000611246826318e-11,565.2647407848046,2.8989743927418745e-13,10.615807524495054,3.1576044923842623e-13,556.5116737856774,4.136739680198495e-12
1964,8.26904158493803,2.1777388986741115e-11,533.4842759890257,4.517239949225553e-13,9.538360513534506,5.717042910067741e-13,546.8994773883051,7.964370509296106e-12
1965,7.986860511261469,6.159429217884363e-12,519.2127020099831,1.0700546831550605e-12,18.193621343601116,7.089814898023833e-10,799.6349407193698,1.2946942558458574e-09
1966,7.436331917642441,4.0336667954473636e-11,408.0185978268273,5.190517226194429e-13,17.71929380826547,5.706588706055534e-10,714.1588583171585,9.57385248385978e-10
1967,7.16814140687314,5.566779019343961e-11,378.75552949027724,3.082106395015057e-13,18.048557227015195,5.294507788450718e-10,692.2692060045379,6.867105279606802e-10
1968,6.903143397949826,2.6573833690960976e-11,355.3132697427195,5.2130977031094904e-14,18.102709635135888,3.550359678485353e-10,718.1011520480254,2.858889050375554e-10
1969,6.034585551133873,2.690428557314844e-11,329.32153564804,2.133289608371936e-15,16.905072371910137,3.3881949136560465e-10,675.3864040520805,1.3779989798666798e-10
1970,5.720095595937057,1.61494335028077e-11,310.6910343560196,4.757586137259557e-14,16.494823301365102,3.427664142992178e-10,649.7286666318901,1.2341750244424478e-10
1971,5.584695196246049,1.4781922203838523e-11,282.33000059229084,4.682514671365028e-13,16.283168862063704,3.505068706073899e-10,596.1956894998102,1.904347930576019e-10
1972,2.6236040119539616,7.616340793515627e-10,241.93837446343355,2.040054694456733e-11,12.699799851526802,1.0298139205733548e-08,538.1061255770824,8.469033984182735e-10
1973,3.252919689022283,9.938704097764127e-11,230.3991240307589,3.745609063686023e-11,12.818820186981236,6.8192597550950395e-09,501.644666518931,9.600621922326634e-10
1974,2.769185990893325,5.181552520864279e-10,204.663790822363,7.731127743388674e-11,3.0065342531226094,1.4902515221293037e-10,208.88177958527217,3.75394373043591e-13
1975,2.701532234367688,6.031269455698173e-10,198.82011144972273,7.573866832177311e-11,2.892692082482945,6.920947855052376e-11,193.89770315466706,5.1512180050295163e-14
1976,2.597317225697209,8.870224780371182e-11,188.93864849200963,7.748697462867401e-11,2.292976082549007,1.2280227501651208e-10,180.35666324259205,3.364188375860579e-14
